partido_id,resultado_final_local,resultado_final_visitante,tiros_local,tiros_visitante,tiros_apuerta_local,tiros_apuerta_visitante,posesion_local,posesion_visitante,corners_local,corners_visitante
1038270,2,1,11,8,4,6,54,46,4,4
1038281,0,1,9,5,3,3,56,44,11,3
1038290,2,0,9,7,4,1,52,48,7,2
1038288,3,0,19,7,9,2,71,29,7,4
1038286,4,2,9,16,7,7,40,60,5,4
1038285,0,1,7,9,4,4,59,41,6,2
1038319,1,2,11,8,3,5,49,51,10,2
1038316,0,0,10,9,3,1,49,51,5,3
1038318,2,2,29,7,8,3,51,49,12,2
1038325,7,0,16,10,9,2,70,30,4,2
1038326,1,1,12,11,6,3,43,57,6,4
1038328,0,2,14,10,4,4,60,40,8,4
1038322,6,1,27,12,12,4,46,54,1,4
1038327,0,1,17,7,4,1,63,37,8,2
1038330,0,0,13,11,5,3,59,41,4,5
1038324,1,2,16,9,6,4,50,50,3,4
1038004,3,2,15,13,6,7,74,26,2,3
1038029,3,0,8,18,5,3,51,49,5,7
1038022,3,3,17,19,5,4,49,51,1,5
1038028,0,2,17,10,3,3,46,54,4,2
1038023,3,2,18,8,9,4,70,30,5,3
1038025,3,0,15,9,7,2,56,44,5,3
1038030,2,1,16,11,5,3,74,26,4,5
1038037,3,0,23,4,9,1,59,41,6,2
1038033,0,1,8,20,2,5,26,74,5,5
1038053,2,2,12,11,7,5,57,43,10,4
1038061,2,1,11,8,7,1,64,36,4,4
1038058,2,3,18,6,8,5,46,54,4,1
1038066,2,1,9,13,3,5,53,47,3,4
1038069,2,4,15,11,3,4,50,50,2,7
1038062,2,0,22,8,3,1,57,43,6,1
1038063,1,1,15,13,3,5,39,61,4,6
1038067,0,1,13,12,6,4,51,49,8,3
1038064,1,0,23,9,3,3,56,44,12,6
1038071,1,0,11,6,2,1,51,49,0,4
1038166,1,2,7,13,2,5,53,47,1,6
1038163,3,5,22,9,10,6,71,29,10,0
1038168,0,1,14,8,1,2,53,47,5,4
1038164,0,1,10,15,5,6,40,60,5,7
1038177,1,3,13,8,2,5,36,64,13,5
1038174,0,0,11,11,3,2,48,52,3,4
1038189,3,2,11,9,4,4,48,52,0,4
1038184,2,1,8,11,5,4,49,51,5,1
1038187,1,0,10,16,6,5,40,60,2,7
1038183,3,3,11,11,6,5,66,34,6,2
1038248,2,0,9,7,4,3,59,41,4,7
1038249,1,2,11,14,2,8,52,48,3,3
1038208,0,1,13,6,3,2,57,43,5,4
1038254,2,1,15,12,3,5,47,53,6,5
1038253,3,1,17,12,4,5,41,59,2,0
1038260,0,0,11,7,2,0,64,36,3,0
1038255,0,1,6,16,2,9,44,56,4,2
1038259,0,1,14,12,3,2,38,62,8,4
1038287,0,2,12,10,2,4,41,59,8,5
1038282,3,2,23,11,7,3,54,46,2,1
1038039,4,0,19,7,9,1,67,33,5,4
1038035,1,1,9,11,5,3,49,51,3,6
1038056,2,2,10,20,5,10,35,65,2,4
1038055,2,1,9,7,2,1,50,50,6,3
1038057,2,2,16,15,7,3,55,45,4,5
1038096,1,1,18,5,4,4,57,43,8,4
1038097,1,0,13,8,2,4,59,41,7,2
1038098,1,1,26,2,7,1,68,32,12,1
1038105,1,0,8,3,6,0,68,32,7,0
1038130,3,2,30,10,11,5,65,35,12,0
1038122,1,0,19,5,10,1,51,49,5,2
1038158,2,4,14,11,5,4,36,64,3,4
1038153,5,1,12,9,8,3,55,45,4,5
1038157,0,1,17,10,2,5,53,47,6,2
1038171,0,3,19,11,7,3,64,36,11,3
1038170,0,0,6,5,3,0,52,48,2,2
1038182,0,0,10,12,4,4,39,61,4,10
1038199,1,1,20,11,7,2,56,44,8,3
1038193,5,0,13,11,7,2,35,65,3,5
1038293,1,0,21,6,8,2,56,44,4,7
1038299,0,0,13,12,5,1,50,50,6,3
1038298,3,2,14,14,7,7,47,53,3,5
1038294,2,0,14,10,5,3,57,43,6,2
1038317,1,0,9,10,2,4,47,53,2,1
1038314,3,0,14,15,6,4,72,28,7,5
1038313,1,4,14,15,2,6,57,43,7,5
1038312,2,0,15,9,6,4,53,47,8,3
1038320,1,3,20,18,6,5,36,64,5,4
1038321,4,4,21,12,7,6,43,57,3,3
1038107,0,1,19,9,5,2,40,60,12,3
1038103,1,1,14,12,6,2,37,63,7,6
1038120,0,3,12,14,4,7,57,43,4,2
1038117,1,1,11,16,4,8,36,64,4,6
1038112,0,0,7,20,1,2,53,47,4,4
1038118,0,0,12,12,4,3,57,43,2,7
1038119,1,1,7,13,2,5,65,35,4,6
1038116,4,1,22,3,9,1,60,40,14,0
1038121,3,0,9,12,4,2,67,33,3,2
1038127,0,1,7,8,1,3,59,41,7,1
1038296,0,4,12,13,1,7,42,58,8,5
1038292,2,2,15,13,6,3,67,33,8,6
1038295,1,0,13,10,6,4,45,55,6,2
1038315,0,2,18,5,9,2,68,32,6,2
1038331,1,1,9,14,4,4,65,35,2,6
1038323,2,2,9,12,4,1,54,46,2,2
1038329,1,2,15,11,6,6,39,61,6,5
